Date,E_INT_Daily_kWh,P_AC_W,P_DC_W,F_AC_Hz,I_AC_A,I_DC_A,U_AC_V,U_DC_V,R_ISO_MOhm,T_WR1_C,T_WR2_C,G_M1_Wm2,G_M2_Wm2,G_M0_Wm2,E_Z_EVU_Daily_kWh
2020-03-30,4010.0,166898.33560416667,169668.79520833332,50.001979166666665,259.96169791666665,258.92021875,354.65220833333336,363.6932291666667,114.42460416666668,42.99791666666667,27.465625,208.77083333333331,209.45833333333331,209.11458333333331,4010.0
2020-03-31,5156.0,214875.64283333332,218496.71909375,49.9984375,332.34770833333334,319.4688333333333,357.3387708333333,376.815,136.54029166666666,43.73854166666666,28.13125,258.46875,258.6145833333333,258.5416666666667,5156.0
2020-04-01,5370.0,223474.96689583332,227455.79929166668,49.99625,347.1187708333334,316.87555208333333,356.10355208333334,389.9864583333333,138.00953125,43.25625,26.28645833333333,264.34375,263.65625,264.0,5370.0
2020-04-02,4659.0,196318.17116666667,199956.4788958333,49.849895833333335,308.97347916666666,286.70809375,353.667125,388.4476041666667,360.62817708333336,44.16666666666666,26.578125,249.0625,248.67708333333331,248.86979166666663,4659.0
2020-04-03,2913.0,121371.90041666666,124174.56364583332,50.0009375,192.18507291666663,181.56023958333333,354.4724583333333,380.71197916666665,170.85784375,44.396875,26.230208333333334,148.3125,149.20833333333334,148.76041666666666,2913.0
2020-04-04,4847.0,202394.56704166668,206797.4459375,50.001354166666665,313.30019791666666,295.6039895833333,356.0785520833333,383.4653125,196.87266666666667,44.153125,26.89583333333333,248.11458333333331,246.47916666666663,247.296875,4847.0
2020-04-05,3505.0,145917.53539583334,149109.24509374998,50.00458333333333,231.3503125,213.94859375,353.76229166666667,380.7920833333333,190.498875,45.07395833333334,27.758333333333336,173.39583333333334,173.8125,173.60416666666666,3505.0
2020-04-06,5375.0,223944.05684375,228582.63077083332,50.0065625,345.66516666666666,336.1040208333333,356.94896875,379.7116666666666,190.82505208333336,43.54583333333333,28.863541666666663,277.4791666666667,276.2083333333333,276.84375,5375.0
2020-04-07,6370.0,265372.88528125,270867.5737291667,50.00510416666666,409.397375,398.38146875,358.1494479166667,386.5854166666666,195.80196875,43.76979166666666,28.072916666666668,322.375,321.3645833333333,321.8697916666667,6370.0
2020-04-08,6398.0,266557.4777916667,272180.6254375,50.00291666666666,412.7214583333334,402.7753125,357.56885416666665,388.9070833333333,178.64805208333334,43.39270833333333,27.940625,326.125,325.3541666666667,325.7395833333333,6398.0
2020-04-09,6380.0,265868.9782708333,271588.7657708333,49.99197916666666,411.1293333333333,406.54988541666665,358.5780625,387.73572916666666,209.01934375,42.45520833333333,27.383333333333336,328.7916666666667,328.0104166666667,328.4010416666667,6380.0
2020-04-10,6142.0,255868.22410416664,261177.0974895833,50.00208333333333,396.6139375,387.9660729166667,358.5705520833333,388.74375,212.50876041666663,42.56875,27.47083333333333,315.03125,314.3125,314.671875,6142.0
2020-04-11,5852.0,243850.6245,248849.46198958333,50.00020833333334,382.8123125,372.7417916666666,355.272625,385.9402083333334,215.25235416666663,42.8375,28.413541666666664,303.3958333333333,302.8020833333333,303.0989583333333,5852.0
2020-04-12,5781.0,240863.2976145833,245556.48178125,49.994166666666665,374.1388229166666,379.8331666666666,356.7946979166666,379.1348958333333,181.8746979166667,43.30416666666667,28.7,309.5520833333333,308.8125,309.1822916666667,5781.0
2020-04-13,5806.0,241954.84210416663,246942.7054895833,50.00541666666666,375.67167708333335,374.2779375,357.9390833333334,384.6595833333333,178.98792708333335,44.446875,28.336458333333336,305.1666666666667,304.3125,304.7395833333333,5806.0
2020-04-14,1981.0,85050.9224516129,87251.26076344086,50.001612903225805,136.47654838709676,126.71682795698926,351.91031914893614,386.3751612903226,164.52539784946237,46.45161290322581,27.774193548387096,108.09473684210526,108.90526315789474,104.40425531914892,1988.0
2020-04-15,6329.0,430372.6448135593,436590.7213898305,49.98694915254237,667.4128983050847,617.2937288135594,361.0610847457627,519.1520338983051,396.6384915254238,55.76101694915254,32.03389830508475,497.56666666666666,508.78333333333336,503.175,6329.0
2020-04-16,6432.0,267972.18415625003,271727.39372916665,49.99947916666667,414.7726979166667,422.1441354166666,357.49056249999995,390.12208333333336,194.53159375,43.153125,26.82708333333333,321.0208333333333,335.6875,328.3541666666667,6432.0
2020-04-17,6099.0,254088.77059375003,257629.86165625,50.00145833333334,395.8122083333333,407.23511458333337,357.3231875,383.3960416666666,184.15064583333333,42.67083333333333,28.17708333333333,303.5625,323.0,313.28125,6099.0
2020-04-18,5870.0,244541.40244791663,247958.65069791663,49.993541666666665,379.92392708333335,394.8629375,357.82158333333336,382.9435416666667,171.81604166666668,42.746875,28.729166666666668,298.5416666666667,313.5208333333333,306.03125,5870.0
2020-04-19,5394.0,225268.2553958333,228426.4980833333,50.00447916666667,349.4172708333333,363.4691875,357.06220833333333,372.8879166666666,188.0577291666667,43.91354166666667,30.682291666666668,280.8645833333333,286.09375,283.4791666666667,5394.0
2020-04-20,1165.0,48545.897739583335,49295.84745833333,47.92885416666667,78.59758333333333,78.23515625,350.10489583333333,373.2586458333333,261.2001979166667,45.364583333333336,29.163541666666664,62.958333333333336,63.5,63.22916666666666,1165.0
2020-04-21,3706.0,154509.20482291668,157204.995375,50.001979166666665,241.79146875,240.442,355.2939375,379.96229166666666,107.50720833333332,44.33125,29.18125,195.53125,191.34375,193.4375,3706.0
2020-04-22,734.0,30548.493229166663,31391.578458333333,50.00239583333333,49.69360416666667,54.04105208333333,350.92175,375.9063541666667,85.14852083333334,46.15416666666667,27.454166666666666,41.677083333333336,42.125,41.90104166666666,734.0
2020-04-23,3724.0,155158.81416666668,157771.30925,50.00052083333333,244.1658125,230.72982291666668,354.91643750000003,403.8304166666667,124.13485416666668,46.35625,28.860416666666666,183.97916666666663,184.04166666666663,184.01041666666663,3724.0
2020-04-24,6171.0,256864.54292708333,261329.95719791664,49.993125,397.51951041666666,406.70777083333337,358.2905104166667,391.4027083333333,170.57821875,44.81979166666667,30.48333333333333,326.4375,316.7395833333333,321.5885416666667,6171.0
2020-04-25,5743.0,239788.92332291664,243970.67590625,50.001666666666665,372.8571875,380.18878125,357.05167708333335,393.9434375,160.86651041666667,44.0,29.48229166666667,306.03125,303.3125,304.671875,5743.0
2020-04-26,5942.0,247452.8782083333,251858.8926875,50.00177083333333,384.1237708333333,395.1656145833333,357.81868749999995,392.536875,167.56891666666667,45.021875,29.88020833333333,315.3645833333333,314.2916666666667,314.828125,5942.0
2020-04-27,5916.0,246654.40691666663,250866.52572916663,50.00239583333333,381.9861354166667,399.5273541666666,357.3860104166667,389.3161458333333,178.46394791666668,44.552083333333336,30.291666666666668,318.7708333333333,318.9166666666667,318.84375,5916.0
2020-04-28,4723.0,196674.47429166667,200006.2774583333,50.0003125,307.2269791666667,316.7851979166667,356.1670208333333,394.3851041666667,179.9235625,45.896875,30.308333333333334,251.38541666666663,253.35416666666663,252.36979166666663,4723.0
2020-04-29,3731.0,155553.42205208333,158086.59394791667,49.99072916666666,245.69861458333327,242.0309375,353.9538229166667,399.7857291666666,179.09971875,46.17083333333333,31.188541666666666,197.28125,198.8125,198.046875,3731.0
2020-04-30,5750.0,239562.918625,243780.812625,50.006875,373.2374583333333,376.85673958333336,356.8625104166667,397.6940625,194.89384375,44.80416666666667,30.601041666666664,307.3333333333333,308.21875,307.7760416666667,5750.0
2020-05-01,5360.0,224189.3694375,227885.16551041664,50.000729166666666,349.77853125,354.36261458333337,357.3565208333334,398.54968750000006,190.23603125,45.028125,30.782291666666666,282.3958333333333,283.0625,282.7291666666667,5360.0
2020-05-02,2866.0,119521.32852083334,121369.07976041666,49.99177083333333,189.41110416666663,186.32545833333333,354.5904270833333,402.43875,161.85705208333334,47.50104166666667,30.34583333333333,147.95833333333334,148.77083333333334,148.36458333333334,2866.0
2020-05-03,4575.0,191526.45062500003,194690.9454270833,50.00260416666666,301.5285416666667,297.34985416666666,354.82009375,405.2814583333333,159.00359375,45.395833333333336,30.62395833333333,241.33333333333331,241.95833333333331,241.64583333333331,4575.0
2020-05-04,6669.0,278225.8418125,283226.57671875,49.9990625,429.41889583333335,424.5615416666667,358.9116979166667,415.86614583333335,190.7140833333333,45.03958333333333,29.307291666666668,338.21875,338.46875,338.34375,6669.0
2020-05-05,6231.0,259490.42422916667,264049.95416666666,50.000416666666666,407.7464166666667,414.9162083333333,355.8231666666666,403.7504166666667,184.69648958333332,44.965625,29.144791666666663,330.2395833333333,330.8645833333333,330.5520833333333,6231.0
2020-05-06,4158.0,172493.1527083333,175232.9765104167,49.9990625,271.18766666666664,272.0385416666667,355.875,401.71802083333336,176.35320833333333,45.34270833333333,30.721875,220.03125,220.10416666666663,220.06770833333331,4158.0
2020-05-07,6245.0,261160.16315625,266390.7804583333,48.09885416666666,400.6608541666667,392.5724479166667,362.0217395833333,429.5814583333333,428.71290625,44.796875,29.805208333333336,343.3854166666667,343.90625,343.6458333333333,6245.0
2020-05-08,6089.0,253802.0302395833,258777.35011458336,48.858125,389.6915625,397.36129166666666,361.1241875,413.5572916666667,341.5637291666667,43.427083333333336,29.488541666666663,338.6770833333333,339.2708333333333,338.9739583333333,6089.0
2020-05-09,6370.0,265388.0969791667,271094.56892708334,49.99958333333333,408.0208229166667,421.91278125,361.858,405.1010416666666,181.52472916666667,44.95729166666666,30.13854166666667,339.0104166666667,339.5416666666667,339.2760416666667,6370.0
2020-05-10,2397.0,100023.82798958333,102760.48309375,50.00375,158.14246875,150.35548958333334,356.0145416666667,408.37395833333335,155.42176041666667,47.84375,29.805208333333336,125.78125,126.29166666666669,126.03645833333331,2397.0
2020-05-11,1946.0,81042.93458333334,83631.92884374999,50.004375,129.66396875,122.49434375,355.7596770833333,416.50104166666665,146.29604166666667,48.348958333333336,29.20520833333333,101.40625,101.90625,101.65625,1946.0
2020-05-12,6058.0,252471.6523125,257668.18603125,49.9896875,387.9417604166667,403.13781250000005,360.86662500000006,405.4354166666667,163.91763541666668,45.60833333333333,31.425,326.46875,326.90625,326.6875,6058.0
2020-05-13,4923.0,205049.86204166667,209703.69134375,49.98947916666666,319.07630208333336,318.18807291666667,359.0441770833333,408.28052083333336,180.32670833333336,46.31666666666666,30.8125,257.3020833333333,258.8229166666667,258.0625,4923.0
2020-05-14,4947.0,206152.12830208332,210564.65394791667,50.00125,317.19790625,319.0074270833333,360.1885104166667,403.5485416666667,190.97490625,45.484375,31.766666666666666,258.53125,258.71875,258.625,4947.0
2020-05-15,4736.0,197111.6783125,201140.59623958333,50.002812500000005,308.0835104166667,310.7574270833333,358.0698229166667,400.404375,169.36690625,45.12395833333333,32.69583333333333,254.52083333333331,255.17708333333331,254.84895833333331,4736.0
2020-05-16,4839.0,201569.05759375,205592.1099270833,50.00020833333334,313.3443541666667,328.73267708333333,359.6493645833333,398.8240625,181.03404166666667,45.25,33.65208333333333,268.1979166666667,268.4270833333333,268.3125,4839.0
2020-05-17,3781.0,157475.27454166667,160728.14308333333,49.99937499999999,247.97906250000003,253.61277083333331,357.5245520833334,402.8419791666667,177.99961458333334,44.286458333333336,33.104166666666664,206.375,206.14583333333331,206.26041666666663,3781.0
2020-05-18,3157.0,131565.40566666666,134428.74068750002,50.00104166666667,207.97164583333333,201.70469791666667,357.95334375,405.95,198.21919791666667,44.5875,33.171875,167.19791666666666,168.35416666666666,167.77604166666666,3157.0
2020-05-19,1586.0,66087.73021875,68339.72648958334,49.99916666666667,105.84434375,102.77628125,355.6864270833333,411.4909375,175.52931249999995,46.56666666666666,31.62395833333333,86.88541666666667,87.5,87.19270833333333,1586.0
2020-05-20,4406.0,183887.99695833333,187883.382375,49.99822916666667,284.62784375,294.351875,359.25002083333334,402.4533333333333,167.76321875,46.05104166666666,32.05104166666667,246.79166666666663,246.44791666666663,246.61979166666663,4406.0
2020-05-21,976.0,79544.90710204082,80825.80367346939,48.165306122448975,127.2954693877551,117.14455102040816,354.40487755102043,381.4379591836735,494.6761632653062,37.96734693877551,27.5734693877551,119.11764705882354,120.03921568627452,119.57843137254902,976.0
2020-05-22,6108.0,410170.4372666667,416162.45825,49.99816666666666,629.7843166666667,623.1946333333333,364.16105,520.9528333333333,423.72996666666666,51.70333333333333,32.718333333333334,508.7166666666666,508.73333333333335,508.725,6108.0
2020-05-23,6096.0,254079.6641875,257638.14688541667,49.99854166666666,390.1136145833333,413.0755833333333,361.5992812500001,412.25708333333336,195.15048958333333,44.36041666666667,31.64270833333333,335.5520833333333,336.2083333333333,335.8802083333333,6096.0
2020-05-24,5674.0,236335.6755625,239651.16436458327,50.0021875,366.0451666666667,381.22819791666666,359.4040104166667,414.0502083333333,192.0919583333333,45.025,32.90416666666667,312.4166666666667,313.34375,312.8802083333333,5674.0
2020-05-25,6126.0,255396.62898958332,259116.15947916664,49.999791666666674,391.94471875,393.31829166666665,360.7902395833333,422.2751041666666,203.1298020833333,46.49791666666667,31.604166666666668,321.03125,320.5,320.765625,6126.0
2020-05-26,6526.0,272168.36888541665,276253.94621875003,49.99510416666666,421.4805833333333,410.4637604166667,357.6931770833333,433.7626041666667,227.1548645833333,46.52395833333333,30.376041666666666,335.4583333333333,336.09375,335.7760416666667,6526.0
2020-05-27,6187.0,257542.5597395833,261314.83805208336,49.99510416666666,400.18292708333337,386.6357604166667,357.655,434.99854166666665,207.09885416666668,46.68541666666667,30.479166666666668,322.75,323.09375,322.921875,6187.0
2020-05-28,6130.0,255784.5792708333,259499.6637708333,49.998020833333335,396.5667604166667,394.2137395833333,358.37896875,427.728125,208.48776041666667,46.0625,30.7625,322.6354166666667,323.3229166666667,322.9791666666667,6130.0
2020-05-29,6070.0,252807.05391666663,256421.9810520833,50.000416666666666,390.0537291666667,391.35515625,360.13241666666664,425.2738541666667,206.808375,45.24375,31.007291666666664,321.75,322.0833333333333,321.9166666666667,6070.0
2020-05-30,2512.0,104688.13464583334,106153.78170833334,48.758229166666666,166.0915,159.41494791666665,354.53666666666663,418.8267708333333,608.72365625,46.72708333333333,29.805208333333336,131.60416666666666,132.1875,131.89583333333334,2512.0
2020-05-31,4885.0,203343.14503125,207218.8061875,50.00729166666667,317.7262083333333,302.1933333333333,358.0912083333333,432.2284375,165.82840625,45.23854166666666,31.126041666666666,260.1666666666667,260.9479166666667,260.5572916666667,4885.0
2020-06-01,1446.0,88609.95709722223,90321.99875,49.997638888888886,141.65754166666667,132.72715277777775,353.2930277777777,357.28125,492.31934722222223,45.62222222222223,29.186111111111117,119.8082191780822,120.87671232876713,120.34246575342466,1446.0
2020-06-02,6408.0,266918.89861458336,271204.63628125,49.993854166666665,409.6248854166667,411.93734375,360.5386458333333,431.6969791666667,203.32088541666667,45.25416666666666,30.628125,337.5833333333333,338.4270833333333,338.0052083333333,6408.0
2020-06-03,4831.0,200695.39851041665,203951.29709375,49.9978125,314.11986458333337,319.16010416666666,355.88711458333336,423.785625,200.54483333333332,45.40416666666667,31.807291666666668,262.6666666666667,264.5,263.5833333333333,4831.0
2020-06-04,5743.0,239785.76315625,243566.86840625,49.99364583333334,372.8246458333333,379.0419583333333,357.2707604166667,425.9667708333333,179.13210416666666,46.11354166666666,31.346875,307.125,308.25,307.6875,5743.0
2020-06-05,271.0,11284.021177083334,11540.963843750002,48.97354166666667,18.5138125,22.77761458333333,348.3460833333333,401.003125,411.21911458333335,42.661458333333336,29.61458333333333,23.197916666666668,23.625,23.41145833333333,271.0
2020-06-06,4170.0,173542.83916666667,176959.52347916667,50.00322916666667,272.18980208333335,267.46944791666664,354.41337500000003,427.4252083333333,119.61584375,42.309375,30.538541666666664,224.83333333333331,225.48958333333331,225.16145833333331,4170.0
2020-06-07,6075.0,253050.38263541667,257773.84027083332,50.0,393.8022708333333,406.7401041666667,357.7364375,420.0932291666666,144.0164375,45.83958333333334,32.175000000000004,334.15625,335.2291666666667,334.6927083333333,6075.0
2020-06-08,3045.0,127280.87805208332,129737.29879166668,49.99937499999999,201.7728958333333,200.32908333333333,353.78764583333333,421.0745833333333,137.07909375,47.14479166666666,32.584375,165.55208333333334,165.5,165.52604166666666,3045.0
2020-06-09,4242.0,176491.85619791667,179805.60123958334,49.9975,277.62063541666663,275.5413229166667,355.9185625,425.0907291666667,140.07941666666667,45.60208333333333,32.796875,231.64583333333331,233.58333333333331,232.61458333333331,4242.0
2020-06-10,4331.0,180935.11885416668,184485.8967708333,49.84822916666667,283.439875,284.90011458333333,354.5011354166666,424.6644791666667,163.75971875,46.278125,33.104166666666664,238.6875,239.63541666666663,239.16145833333331,4331.0
2020-06-11,5247.0,218909.6428645833,223917.11384375,49.99927083333333,342.00715625,345.7963541666666,356.60774999999995,427.79572916666666,161.93032291666665,46.03958333333333,31.586458333333336,285.9375,287.78125,286.859375,5247.0
2020-06-12,4813.0,200806.92133333333,205537.10775,49.99760416666667,313.8357916666667,314.76759375,355.58206249999995,428.5173958333333,169.41330208333332,45.59583333333333,32.26979166666667,264.6354166666667,266.5520833333333,265.59375,4813.0
2020-06-13,5857.0,244176.8011875,248006.93575,49.071666666666665,378.7095625,391.86921875,358.3836875,420.3298958333333,363.18061458333335,45.46145833333333,33.06979166666667,324.5208333333333,325.8229166666667,325.171875,5857.0
2020-06-14,5818.0,242775.77939583332,246608.96378125,50.008229166666666,376.59675,391.10404166666666,357.4127604166667,421.7927083333333,189.19601041666667,45.134375,33.978125,323.09375,324.1666666666667,323.6302083333333,5818.0
2020-06-15,3462.0,143925.23123958334,146209.70891666666,49.9978125,227.39697916666668,226.58408333333333,354.41760416666665,429.38135416666665,166.10879166666666,45.965625,32.84166666666667,187.85416666666663,189.5625,188.70833333333331,3462.0
